dataset,strategy,fit_method,accuracy,brier_score,time,num_rules,num_preds,trial_count
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.954337899543379,0.9583281800050234,12.950069189071655,20,25,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.954337899543379,0.956879336679086,13.082090377807617,20,38,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.9342465753424658,0.9385939344562558,13.463084697723389,11,15,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.9525114155251142,0.9560118777929686,13.701873064041138,23,30,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.9506849315068493,0.9549975709709589,13.683883905410767,17,23,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.9552511415525115,0.9591935563594517,13.702892303466797,25,31,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.9515981735159817,0.9571941764179911,14.042546272277832,17,21,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.9570776255707762,0.9615399303609131,14.136459589004517,17,23,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.9534246575342465,0.9594129343410047,14.381080865859985,25,44,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.9570776255707762,0.961451306568584,14.44327425956726,20,26,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.9415525114155251,0.9470477653354332,14.906500101089478,18,23,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.9552511415525115,0.9604975956938814,15.006379842758179,18,24,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.9506849315068493,0.9549729910388124,15.003047704696655,24,33,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.9561643835616438,0.9596794355892231,15.060471057891846,22,33,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.9689497716894977,0.9715470411661183,15.24037480354309,27,39,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.9561643835616438,0.9596206796755257,15.40232253074646,17,25,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.9561643835616438,0.960297737186758,15.545307397842407,20,29,30
Nursery,greedy,FOLD-RM (fit),0.9506172839506173,0.9568805394802868,2.044495105743408,63,22,30
Nursery,greedy,FOLD-RM (fit),0.9463734567901234,0.9536292814073687,2.039696216583252,57,26,30
Nursery,greedy,FOLD-RM (fit),0.9729938271604939,0.9749602695982257,2.419800281524658,74,31,30
Nursery,greedy,FOLD-RM (fit),0.9679783950617284,0.9710434776756562,2.384051561355591,78,33,30
Nursery,greedy,FOLD-RM (fit),0.9695216049382716,0.9725092061448689,2.4661543369293213,79,34,30
Nursery,greedy,FOLD-RM (fit),0.9371141975308642,0.947577725539506,2.277045726776123,53,19,30
Nursery,greedy,FOLD-RM (fit),0.9320987654320988,0.9448070254410481,2.47711181640625,65,28,30
Nursery,greedy,FOLD-RM (fit),0.9625771604938271,0.9668622382774685,2.2158727645874023,61,27,30
Nursery,greedy,FOLD-RM (fit),0.9591049382716049,0.96392388287176,2.4492101669311523,60,28,30
Nursery,greedy,FOLD-RM (fit),0.9452160493827161,0.9535486930566731,2.3988358974456787,62,24,30
Nursery,greedy,FOLD-RM (fit),0.9556327160493827,0.9610465931932866,2.6390297412872314,71,26,30
Nursery,greedy,FOLD-RM (fit),0.9444444444444444,0.9533505331675923,2.466752052307129,67,27,30
Nursery,greedy,FOLD-RM (fit),0.9672067901234568,0.9699599409664355,2.589049816131592,74,28,30
Nursery,greedy,FOLD-RM (fit),0.9432870370370371,0.952293138566437,2.3341002464294434,68,26,30
Nursery,greedy,FOLD-RM (fit),0.9575617283950617,0.9616614467617293,2.5443673133850098,66,25,30
